Lat: 32.923918538, Lon: -117.0387601565, Heading: 216.2953
Lat: 32.923918565, Lon: -117.0387601718, Heading: 216.2953
Lat: 32.923918565, Lon: -117.0387601718, Heading: 216.3476
Lat: 32.9239185943, Lon: -117.0387601982, Heading: 216.3476
Lat: 32.9239185943, Lon: -117.0387601982, Heading: 216.4079
Lat: 32.9239186245, Lon: -117.0387602252, Heading: 216.4079
Lat: 32.9239186245, Lon: -117.0387602252, Heading: 216.2677
Lat: 32.923918656, Lon: -117.038760252, Heading: 216.2677
Lat: 32.923918656, Lon: -117.038760252, Heading: 216.298
Lat: 32.9239186875, Lon: -117.0387602772, Heading: 216.298
Lat: 32.9239186875, Lon: -117.0387602772, Heading: 215.9865
Lat: 32.9239187188, Lon: -117.0387603017, Heading: 215.9865
Lat: 32.9239187188, Lon: -117.0387603017, Heading: 215.9212
Lat: 32.9239187503, Lon: -117.0387603252, Heading: 215.9212
Lat: 32.9239187503, Lon: -117.0387603252, Heading: 216.6714
Lat: 32.9239187822, Lon: -117.0387603477, Heading: 216.6714
Lat: 32.9239187822, Lon: -117.0387603477, Heading: 216.7969
Lat: 32.9239188145, Lon: -117.0387603697, Heading: 216.7969
Lat: 32.9239188145, Lon: -117.0387603697, Heading: 216.1157
Lat: 32.9239188425, Lon: -117.0387603795, Heading: 216.1157
Lat: 32.9239188425, Lon: -117.0387603795, Heading: 216.1529
Lat: 32.9239188698, Lon: -117.0387603882, Heading: 216.1529
Lat: 32.9239188698, Lon: -117.0387603882, Heading: 216.3285
Lat: 32.9239188975, Lon: -117.038760396, Heading: 216.3285
Lat: 32.9239188975, Lon: -117.038760396, Heading: 216.355
Lat: 32.9239189237, Lon: -117.0387604028, Heading: 216.355
Lat: 32.9239189237, Lon: -117.0387604028, Heading: 216.0347
Lat: 32.9239189493, Lon: -117.0387604092, Heading: 216.0347
Lat: 32.9239189493, Lon: -117.0387604092, Heading: 216.13
Lat: 32.9239189753, Lon: -117.0387604147, Heading: 216.13
Lat: 32.9239189753, Lon: -117.0387604147, Heading: 216.5031
Lat: 32.923919001, Lon: -117.038760419, Heading: 216.5031
Lat: 32.923919001, Lon: -117.038760419, Heading: 216.9649
Lat: 32.9239190258, Lon: -117.0387604222, Heading: 216.9649
